############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 prolate galaxies"
#
# Table title: MaNGAID, ra dec and parameters for the 38 galaxies in the control sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-321069      215.34655   47.91842    11.29       2.35      0.04      0.50      0.30      1.07      11.78  
1-320584      216.25614   47.95349    11.43       2.18      0.01      0.21      0.24      1.08      12.00  
1-114171      323.29633   10.64420    11.35       2.33      -0.01     0.21      0.19      1.02      11.92  
1-575838      183.12655   45.68545    10.83       2.37      0.07      0.38      0.45      0.84      11.15  
1-558910      166.67355   42.81168    11.21       2.22      0.12      0.42      0.35      1.04      11.64  
1-277858      167.04968   42.11969    11.03       2.50      0.07      0.56      0.42      0.67      11.43  
1-558910      166.67355   42.81168    11.20       2.22      0.12      0.42      0.32      1.04      11.65  
1-277161      164.49713   40.82797    10.54       2.60      0.09      0.33      0.40      0.50      10.91  
1-558910      166.67355   42.81168    11.17       2.22      0.12      0.42      0.31      1.04      11.67  
1-256287      167.60275   43.82870    11.29       2.08      -0.01     0.23      0.32      1.07      11.81  
1-256009      167.10386   43.01296    11.18       2.17      0.09      0.34      0.34      0.98      11.65  
1-217050      136.71998   41.40825    10.90       2.43      0.07      0.34      0.45      0.72      11.33  
1-44526       118.71334   43.18264    10.64       2.78      0.02      0.59      0.47      0.58      10.94  
1-44100       119.16593   44.10101    11.16       2.48      0.11      0.51      0.42      0.88      11.57  
1-592049      206.29957   23.07186    10.94       2.66      0.04      0.45      0.41      0.74      11.36  
1-148086      156.69961   48.12904    11.35       2.12      0.22      0.34      0.49      1.20      12.03  
1-542327      245.52465   50.01685    11.27       2.41      0.13      0.60      0.55      1.00      11.61  
1-256832      169.51345   45.11303    11.60       2.21      -0.25     0.37      0.48      1.09      11.88  
1-259650      196.61105   45.28900    11.47       1.92      0.11      0.38      0.37      1.31      11.90  
1-248289      240.91244   41.15306    10.94       2.61      0.06      0.70      0.63      0.82      11.34  
1-546834      256.67349   35.86958    11.06       2.42      0.07      0.23      0.36      0.71      11.31  
1-29726       355.89492   0.56783     11.34       2.45      0.10      0.41      0.32      0.98      11.82  
1-460404      125.63423   18.74433    11.06       2.43      0.11      0.32      0.24      0.83      11.59  
1-198182      224.74965   48.40986    11.10       2.60      0.07      0.35      0.40      0.72      11.44  
1-270160      248.27462   26.21181    11.39       2.25      0.25      0.32      0.48      1.08      12.00  
1-569263      216.73151   42.09605    11.49       2.25      0.03      0.28      0.19      1.11      12.10  
1-180208      322.30215   -0.62176    10.75       2.77      0.17      0.33      0.37      0.47      10.91  
1-121717      118.80343   35.59680    11.14       1.89      0.34      0.59      0.70      1.28      11.96  
1-236106      225.20350   41.16077    11.22       2.31      0.11      0.37      0.38      0.96      11.75  
1-202091       56.62399   0.71880     10.51       2.58      0.03      0.69      0.40      0.54      10.98  
1-282043      184.73856   43.61227    10.77       2.68      0.04      0.59      0.55      0.63      11.03  
1-279329      171.24463   47.14351    11.16       2.19      0.10      0.54      0.58      1.04      11.57  
1-37679        48.57333   -0.60970    11.65       2.19      0.06      0.25      0.22      1.14      12.06  
1-201464      118.30705   28.82830    11.16       2.10      0.12      0.45      0.45      1.09      11.82  
1-258653      184.68475   44.78119    11.10       2.60      0.00      0.36      0.35      0.81      11.41  
1-218324      122.90743   27.53822    10.84       2.37      0.11      0.31      0.50      0.77      11.33  
1-258213      184.54379   44.40046    11.15       2.32      0.14      0.29      0.48      0.93      11.45  
1-38802        56.13165   0.00665     10.93       1.80      0.25      0.33      0.60      1.25      11.88  
