############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{ALL} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
12-84677      232.15807   42.44202    11.03       2.40      0.17      0.17      0.53      1.00      11.38  
12-84679      232.01387   42.81367    11.20       2.33      0.13      0.42      0.12      1.13      12.00  
12-129601     204.58628   26.75974    10.71       2.70      0.10      0.31      0.31      0.51      10.95  
1-235530      214.42210   45.46582    10.51       2.72      0.20      0.17      0.26      0.46      10.87  
1-266074      214.06021   43.92293    11.29       2.18      0.02      0.32      0.06      1.20      11.95  
1-265980      212.69842   43.60749    10.88       2.47      0.06      0.19      0.07      0.86      11.44  
1-285144      201.07392   47.38423    11.12       2.47      0.10      0.15      0.04      0.92      11.77  
1-234629      202.21721   49.48252    10.97       2.33      0.08      0.28      0.07      0.89      11.77  
1-46825       129.13794   54.04146    11.02       2.27      0.04      0.14      0.06      0.91      11.57  
1-564264      129.09877   52.71498    11.19       2.24      0.10      0.04      0.05      1.06      11.80  
1-605419      130.82174   52.75793    11.45       2.54      0.11      0.04      0.31      0.97      11.56  
1-156062      143.28805   49.05032    11.04       2.16      0.15      0.18      0.11      1.00      11.52  
1-156158      144.47599   50.98910    11.14       2.14      0.23      0.09      0.38      1.25      11.55  
1-321069      215.34655   47.91842    11.29       2.61      0.04      0.50      0.30      1.07      11.78  
1-320677      213.80936   47.74996    11.17       2.29      0.13      0.23      0.04      1.14      11.71  
1-321074      215.38506   47.96273    10.88       2.75      0.05      0.64      0.50      0.83      11.34  
1-320584      216.25614   47.95349    11.43       2.44      0.01      0.21      0.24      1.08      12.00  
1-320655      215.27486   48.30817    11.03       2.70      0.02      0.23      0.12      0.78      11.55  
1-24092       258.54848   57.97610    10.69       3.62      0.04      0.08      0.09      0.35      10.67  
1-596598      331.12290   12.44263    10.70       2.49      0.02      0.49      0.49      0.74      10.74  
1-114998      332.75635   12.37430    11.22       2.23      0.03      0.57      0.08      1.20      11.88  
1-114502      324.79932   11.93932    10.93       2.47      -0.04     0.08      0.04      0.83      11.44  
1-114171      323.29633   10.64420    11.35       2.59      -0.01     0.21      0.19      1.02      11.92  
1-114128      323.47060   10.43973    11.06       2.54      0.11      0.20      0.26      0.85      11.66  
1-550578      324.83365   10.54077    11.27       2.30      0.04      0.15      0.04      1.06      11.87  
1-281439      182.35628   46.54936    10.96       2.37      0.11      0.10      0.09      0.86      11.40  
1-258118      180.96440   45.35929    11.26       2.44      -0.00     0.32      0.07      1.08      11.92  
1-258685      184.19393   44.67106    11.21       2.49      0.05      0.10      0.17      0.99      11.68  
1-258477      183.15211   45.62520    11.34       2.60      -0.01     0.09      0.02      0.92      11.88  
1-558910      166.67355   42.81168    11.21       2.48      0.12      0.42      0.35      1.04      11.64  
1-256048      166.39903   42.94534    11.24       2.48      0.04      0.19      0.04      1.03      11.91  
1-278485      166.62199   41.03618    11.15       2.80      0.06      0.40      0.35      0.86      11.69  
1-277858      167.04968   42.11969    11.03       2.76      0.07      0.56      0.42      0.67      11.43  
1-38217        50.77200   0.35430     11.05       2.39      0.06      0.22      0.28      0.93      11.53  
1-558910      166.67355   42.81168    11.20       2.48      0.12      0.42      0.32      1.04      11.65  
1-277858      167.04968   42.11969    10.99       2.77      0.07      0.54      0.40      0.67      11.42  
1-155456      136.79385   46.21115    11.25       2.36      0.10      0.05      0.06      0.95      11.51  
1-137801      136.68646   44.26098    11.14       2.58      0.10      0.05      0.22      0.87      11.59  
1-137845      139.30886   44.48916    11.09       2.54      0.06      0.35      0.20      0.88      11.54  
1-256048      166.39903   42.94534    11.24       2.48      0.04      0.19      0.04      1.03      11.91  
1-277161      164.49713   40.82797    10.54       2.86      0.09      0.33      0.40      0.50      10.91  
1-278485      166.62199   41.03618    11.14       2.80      0.06      0.40      0.34      0.86      11.64  
1-558910      166.67355   42.81168    11.17       2.48      0.12      0.42      0.31      1.04      11.67  
1-587938      165.79592   41.70524    11.18       2.30      0.08      0.16      0.07      0.96      11.77  
1-256009      167.10386   43.01296    11.18       2.43      0.09      0.34      0.34      0.98      11.65  
1-256506      167.09624   44.15032    11.20       2.61      -0.01     0.05      0.23      0.90      11.57  
1-567187      145.53085   48.15487    11.01       2.39      0.23      0.43      0.47      0.97      11.48  
1-258007      179.59331   43.81527    10.85       2.72      0.09      0.14      0.21      0.69      10.86  
1-257854      178.93811   44.89546    11.36       2.37      0.03      0.22      0.17      1.09      11.94  
1-47705       130.99644   51.09026    11.40       2.14      -0.01     0.29      0.10      1.34      12.16  
1-48410       132.97774   52.90088    11.30       2.12      0.14      0.40      0.07      1.34      11.97  
1-277516      166.22852   46.97514    11.30       2.47      0.08      0.13      0.03      1.00      11.85  
1-277539      166.83200   46.38332    10.87       2.47      0.02      0.31      0.17      0.84      11.35  
1-256185      165.56870   44.27171    11.01       2.66      0.01      0.21      0.11      0.77      11.39  
1-137528      134.40495   41.04392    11.36       2.28      0.14      0.18      0.17      1.14      11.99  
1-216779      134.27351   40.01371    11.47       2.08      0.28      0.15      0.28      1.28      12.21  
1-216976      135.75897   40.43399    10.70       2.69      -0.08     0.04      0.03      0.67      10.77  
1-147602      151.72956   47.98411    11.05       2.35      0.06      0.06      0.08      0.92      11.65  
1-338283      112.67069   40.19179    11.43       2.06      0.07      0.27      0.10      1.33      12.19  
1-338060      112.07074   40.08411    11.28       2.54      0.03      0.19      0.15      0.93      11.80  
1-338090      111.87479   38.69964    11.11       2.39      0.15      0.34      0.65      1.04      11.64  
1-338044      111.97529   40.09199    11.49       2.05      -0.05     0.15      0.12      1.34      12.14  
1-338359      112.41670   41.07232    11.15       2.21      0.24      0.38      0.60      1.20      11.80  
1-377439      112.16943   41.47302    11.30       2.41      0.08      0.18      0.11      1.09      12.07  
1-339132      117.95015   46.05198    11.20       2.45      -0.04     0.25      0.08      0.93      11.58  
1-377626      110.45061   42.28631    10.88       2.51      0.09      0.28      0.40      0.78      11.36  
1-338633      113.25521   42.42512    10.61       2.66      0.15      0.47      0.18      0.63      11.10  
1-377508      112.42834   41.90121    11.09       2.44      0.14      0.16      0.37      0.95      11.72  
1-567948      113.28497   44.55097    11.17       2.37      0.14      0.25      0.05      1.09      11.87  
1-338934      114.96186   44.80434    10.92       1.75      0.31      0.40      0.14      1.17      11.69  
1-548074      114.39402   47.46396    11.08       2.34      0.11      0.33      0.04      1.02      11.77  
1-43718       116.78261   43.31407    11.23       2.62      0.12      0.04      0.19      0.82      11.59  
1-574402      115.36872   44.40879    11.14       2.31      0.21      0.15      0.45      1.07      11.49  
