############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{FR} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
12-84677      232.15807   42.44202    11.03       2.40      0.17      0.17      0.53      1.00      11.38  
12-129601     204.58628   26.75974    10.71       2.70      0.10      0.31      0.31      0.51      10.95  
1-321069      215.34655   47.91842    11.29       2.61      0.04      0.50      0.30      1.07      11.78  
1-320584      216.25614   47.95349    11.43       2.44      0.01      0.21      0.24      1.08      12.00  
1-562254      333.15074   11.75089    10.93       2.51      0.21      0.12      0.18      0.87      11.41  
1-258685      184.19393   44.67106    11.21       2.49      0.05      0.10      0.17      0.99      11.68  
1-277858      167.04968   42.11969    11.03       2.76      0.07      0.56      0.42      0.67      11.43  
1-277161      164.49713   40.82797    10.54       2.86      0.09      0.33      0.40      0.50      10.91  
1-278485      166.62199   41.03618    11.14       2.80      0.06      0.40      0.34      0.86      11.64  
1-256287      167.60275   43.82870    11.29       2.34      -0.01     0.23      0.32      1.07      11.81  
1-256009      167.10386   43.01296    11.18       2.43      0.09      0.34      0.34      0.98      11.65  
1-216779      134.27351   40.01371    11.47       2.08      0.28      0.15      0.28      1.28      12.21  
1-338090      111.87479   38.69964    11.11       2.39      0.15      0.34      0.65      1.04      11.64  
1-377508      112.42834   41.90121    11.09       2.44      0.14      0.16      0.37      0.95      11.72  
1-377787      113.59316   43.89128    10.91       2.57      0.11      0.40      0.42      0.88      11.44  
1-43099       114.87264   37.82051    11.11       2.35      0.12      0.18      0.27      1.07      11.70  
1-285729      203.89653   40.11109    11.18       2.55      0.21      0.11      0.25      0.93      11.41  
1-135129      247.28027   40.59103    10.83       2.61      0.05      0.64      0.62      0.90      11.08  
1-148086      156.69961   48.12904    11.35       2.38      0.22      0.34      0.49      1.20      12.03  
1-542327      245.52465   50.01685    11.27       2.68      0.13      0.60      0.55      1.00      11.61  
1-323055      237.88816   38.29944    10.66       2.81      0.08      0.24      0.30      0.48      10.99  
1-209607      236.29930   47.04972    11.17       2.55      0.05      0.43      0.30      1.01      11.72  
1-134634      243.18537   45.35201    10.80       2.69      0.22      0.52      0.45      0.65      11.31  
1-259650      196.61105   45.28900    11.47       2.18      0.11      0.38      0.37      1.31      11.90  
1-284293      197.23932   45.90545    11.21       2.32      0.14      0.18      0.22      1.11      11.60  
1-251278      209.23418   43.31348    11.26       2.26      0.17      0.11      0.19      1.13      11.90  
1-260377      207.56945   39.63643    11.46       2.19      0.05      0.08      0.18      1.21      12.02  
1-546834      256.67349   35.86958    11.06       2.68      0.07      0.23      0.36      0.71      11.31  
