############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{SR} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
12-84670      230.59834   43.36778    11.10       2.58      0.04      0.05      0.02      0.90      11.61  
1-113585      319.11343   10.76762    11.00       2.63      -0.02     0.34      0.05      0.87      11.48  
1-266074      214.06021   43.92293    11.29       2.18      0.02      0.32      0.06      1.20      11.95  
1-285066      199.37550   47.78318    10.86       2.18      0.06      0.32      0.07      0.92      11.56  
1-46825       129.13794   54.04146    11.02       2.27      0.04      0.14      0.06      0.91      11.57  
1-114502      324.79932   11.93932    10.93       2.47      -0.04     0.08      0.04      0.83      11.44  
1-550578      324.83365   10.54077    11.27       2.30      0.04      0.15      0.04      1.06      11.87  
1-256048      166.39903   42.94534    11.24       2.48      0.04      0.19      0.04      1.03      11.91  
1-587938      165.79592   41.70524    11.18       2.30      0.08      0.16      0.07      0.96      11.77  
1-47705       130.99644   51.09026    11.40       2.14      -0.01     0.29      0.10      1.34      12.16  
1-338283      112.67069   40.19179    11.43       2.06      0.07      0.27      0.10      1.33      12.19  
1-339132      117.95015   46.05198    11.20       2.45      -0.04     0.25      0.08      0.93      11.58  
1-378276      114.06017   47.33968    10.66       2.37      0.06      0.26      0.02      0.78      11.36  
1-43512       115.56505   39.33457    10.97       2.19      0.10      0.15      0.05      1.04      11.62  
1-43741       117.30366   44.06504    10.60       2.20      0.14      0.31      0.10      0.77      11.27  
1-339092      117.41841   44.89602    11.08       2.30      0.04      0.23      0.03      1.00      11.59  
1-405213      207.39001   38.71447    11.40       2.37      0.07      0.26      0.08      1.13      12.00  
1-134978      246.42637   43.93177    11.22       2.56      0.07      0.28      0.08      1.04      11.90  
1-209109      235.57481   48.21566    10.98       2.41      0.04      0.13      0.04      0.82      11.56  
1-402454      203.41377   38.02835    10.84       2.52      0.04      0.28      0.09      0.78      11.42  
1-633591      241.25248   41.39172    11.11       2.69      0.07      0.21      0.07      0.81      11.55  
1-209712      241.86534   44.64517    11.23       2.51      0.07      0.24      0.04      0.98      11.61  
1-564483      252.92715   39.23583    10.88       2.47      0.07      0.21      0.04      0.82      11.42  
1-251739      215.96473   40.25883    11.56       2.15      0.06      0.27      0.06      1.30      12.21  
1-542414      243.49200   49.18961    11.32       2.43      0.04      0.27      0.09      1.02      11.77  
1-247395      233.61735   44.95687    11.10       2.55      -0.01     0.16      0.05      0.86      11.57  
1-94971       252.43035   38.87272    11.33       2.49      0.08      0.28      0.04      1.03      11.83  
1-113476      317.56883   10.40881    11.00       2.36      0.06      0.38      0.04      1.03      11.69  
1-546912      256.15292   37.00759    11.10       2.51      0.03      0.20      0.06      0.97      11.71  
1-172936      156.43338   47.32649    11.42       2.34      0.06      0.18      0.04      1.08      11.99  
1-209266      233.10750   48.83328    11.36       2.46      0.09      0.30      0.04      1.08      11.90  
1-180299      322.11524   0.18206     11.32       2.25      0.04      0.27      0.06      1.23      12.13  
1-492536      172.78703   23.05718    10.62       2.58      0.10      0.35      0.06      0.68      10.90  
1-314484      222.81014   32.37819    11.07       2.18      0.07      0.15      0.06      1.05      11.64  
1-121747      118.17371   35.32094    11.31       2.07      0.13      0.33      0.08      1.33      12.03  
1-378826      118.62567   51.12145    11.16       2.32      0.10      0.16      0.03      1.02      11.88  
1-180153      322.61231   -0.00676    11.61       2.16      0.07      0.16      0.06      1.37      12.36  
1-44091       120.21147   44.75226    11.32       2.44      0.06      0.17      0.06      1.02      11.88  
1-109521       54.59707   -1.18410    10.83       2.30      0.04      0.28      0.11      0.91      11.48  
1-378957      117.51109   51.65984    11.09       2.41      -0.07     0.27      0.02      0.96      11.69  
1-197718      219.03122   49.72034    11.47       2.23      -0.00     0.23      0.05      1.25      12.11  
1-236081      226.31921   41.74145    11.13       2.37      0.08      0.25      0.05      1.06      11.73  
1-36890        42.53276   -0.26696    10.70       2.18      0.07      0.27      0.11      0.89      11.25  
1-197063      212.95600   52.81671    11.41       2.51      -0.05     0.10      0.04      1.05      11.96  
1-211273      247.68869   39.19523    10.68       2.14      0.04      0.28      0.05      0.88      11.11  
1-43896       117.87815   39.99584    11.16       2.38      0.08      0.13      0.05      0.98      11.72  
1-73028       125.73617   45.48594    11.21       2.63      0.08      0.39      0.07      0.87      11.67  
1-254717      156.35609   40.34832    11.12       2.58      0.09      0.33      0.08      0.95      11.82  
1-255963      165.01160   43.90507    10.98       2.56      0.07      0.31      0.08      0.92      11.53  
1-207914      222.39456   52.96729    10.67       2.38      0.09      0.21      0.08      0.82      11.04  
1-379216      119.38075   52.68285    11.16       2.28      0.02      0.15      0.05      1.03      11.51  
1-351628      119.33425   49.11407    10.75       2.77      0.06      0.18      0.02      0.64      11.15  
1-275185      157.98763   40.30584    11.10       2.42      0.04      0.40      0.08      0.99      11.75  
1-379490      123.19159   54.13972    10.89       2.34      0.03      0.23      0.04      0.87      11.38  
1-316296      233.96952   28.05523    11.14       2.39      0.04      0.21      0.04      1.05      11.76  
1-489644      171.72545   21.29525    11.34       2.26      0.04      0.18      0.06      1.18      12.04  
1-265919      213.53737   43.19732    11.27       2.50      0.04      0.25      0.03      0.99      11.74  
1-626979      205.23577   26.48672    11.33       1.97      0.10      0.21      0.07      1.30      11.94  
1-635590      321.05441   1.11838     11.32       2.76      0.05      0.39      0.10      0.89      11.83  
1-460293      126.33274   17.48204    11.09       2.52      0.04      0.09      0.04      0.90      11.55  
1-633969      246.85514   42.67971    11.36       2.26      0.03      0.26      0.04      1.12      11.87  
