############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 prolate galaxies"
#
# Table title: MaNGAID, ra dec and parameters for the 38 galaxies with minor-axis rotation
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-285066      199.37550   47.78318    10.86       2.18      0.06      0.32      0.07      0.92      11.56  
1-234629      202.21721   49.48252    10.97       2.33      0.08      0.28      0.07      0.89      11.77  
1-137853      138.93554   44.23609    11.08       2.52      0.07      0.18      0.06      0.85      11.49  
1-47705       130.99644   51.09026    11.40       2.14      -0.01     0.29      0.10      1.34      12.16  
1-147602      151.72956   47.98411    11.05       2.35      0.06      0.06      0.08      0.92      11.65  
1-338283      112.67069   40.19179    11.43       2.06      0.07      0.27      0.10      1.33      12.19  
1-137853      138.93554   44.23609    11.09       2.52      0.07      0.19      0.05      0.85      11.47  
1-43741       117.30366   44.06504    10.60       2.20      0.14      0.31      0.10      0.77      11.27  
1-254642      156.98851   43.31827    11.44       2.38      0.04      0.24      0.05      1.18      12.00  
1-405213      207.39001   38.71447    11.40       2.37      0.07      0.26      0.08      1.13      12.00  
1-576431      234.61407   46.30835    11.26       2.33      0.05      0.16      0.09      1.06      11.69  
1-134978      246.42637   43.93177    11.22       2.56      0.07      0.28      0.08      1.04      11.90  
1-209109      235.57481   48.21566    10.98       2.41      0.04      0.13      0.04      0.82      11.56  
1-561020      256.79195   34.26975    11.04       2.40      0.03      0.14      0.06      0.88      11.40  
1-198859      232.68108   44.62725    10.80       2.44      0.06      0.23      0.14      0.87      11.29  
1-210863      246.07346   39.21104    11.00       2.52      0.04      0.18      0.03      0.78      11.42  
1-94971       252.43035   38.87272    11.33       2.49      0.08      0.28      0.04      1.03      11.83  
1-546912      256.15292   37.00759    11.10       2.51      0.03      0.20      0.06      0.97      11.71  
1-575826      186.39031   46.06715    11.15       2.47      0.06      0.25      0.16      0.94      11.63  
1-43137       116.21292   39.86289    11.44       2.32      0.08      0.17      0.07      1.11      11.94  
1-166670      145.66734   43.16704    11.24       2.63      0.06      0.14      0.09      0.93      11.79  
1-52494        60.08380   -5.58524    11.32       2.23      0.09      0.25      0.07      1.22      12.04  
1-492536      172.78703   23.05718    10.62       2.58      0.10      0.35      0.06      0.68      10.90  
1-378428      116.52296   48.84797    10.79       2.67      0.06      0.11      0.05      0.64      11.17  
1-280053      175.19730   46.54049    11.58       2.55      0.01      0.19      0.05      1.09      12.03  
1-289865      322.04858   0.29988     11.38       2.34      0.01      0.30      0.05      1.13      11.86  
1-634789      263.09891   55.41468    11.10       2.39      0.03      0.17      0.07      0.91      11.69  
1-218116      120.92675   26.45544    11.14       2.26      -0.15     0.29      0.19      1.03      11.75  
1-94514       248.24118   42.52467    11.24       2.48      0.02      0.25      0.03      0.99      11.66  
1-604153       55.80820   -1.01870    10.94       2.43      0.16      0.12      0.15      0.84      11.30  
1-210614      244.50176   41.39219    11.39       2.17      0.02      0.30      0.11      1.20      11.91  
1-177617      257.56793   32.24011    11.00       2.68      0.07      0.14      0.10      0.66      11.43  
1-43896       117.87815   39.99584    11.16       2.38      0.08      0.13      0.05      0.98      11.72  
1-379216      119.38075   52.68285    11.16       2.28      0.02      0.15      0.05      1.03      11.51  
1-72913       127.48937   44.94016    10.87       2.68      -0.04     0.19      0.03      0.77      11.45  
1-246383      221.22310   51.34108    11.32       2.10      0.17      0.14      0.12      1.26      11.97  
1-178169      259.21741   31.58413    10.56       2.36      -0.00     0.07      0.15      0.67      10.96  
1-48557       134.79977   54.04305    11.08       2.09      0.04      0.32      0.06      1.06      11.64  
